Current I_A1 / A	Magnetic flux &F / Vs
0.0005	0.0
0.0005	0.0004334999999999
0.0035	0.0015615
0.006	0.002924
0.009	0.004541
0.0125	0.0067284999999999
0.0155	0.009216
0.019	0.011791
0.0225	0.0146535
0.026	0.0178665
0.03	0.021254
0.0335	0.0250415
0.037	0.0290595
0.041	0.0332845
0.0445	0.03791275
0.048	0.04287525
0.051	0.04804475
0.0535	0.05366975
0.0555	0.05986625
0.057	0.06633425
0.059	0.07357175
0.0605	0.08132175
0.0625	0.08973675
0.0645	0.09861175
0.0665	0.10799925
0.0685	0.11752975
0.071	0.12770425
0.0725	0.137051
0.0745	0.1455885
0.0765	0.153126
0.078	0.1598325
0.079	0.1655825
0.08	0.1703255
0.081	0.1739495
0.0815	0.1771625
0.082	0.1794875
0.082	0.1810125
0.0825	0.1818
0.082	0.1817125
0.0805	0.1811
0.078	0.1802075
0.0755	0.17897
0.0725	0.17746325
0.069	0.17545075
0.066	0.17311325
0.0625	0.17053775
0.059	0.16767525
0.055	0.16457525
0.0515	0.16129225
0.048	0.15754225
0.044	0.15346225
0.04	0.14932475
0.036	0.14494975
0.0325	0.14038725
0.0285	0.13547475
0.025	0.13040325
0.0205	0.12496575
0.017	0.11920275
0.0135	0.11340275
0.0095	0.10731525
0.006	0.101031
0.0025	0.094256
-0.001	0.0873810000000001
-0.0045	0.080241
-0.008	0.0728410000000001
-0.0115	0.0651660000000001
-0.015	0.0573285000000001
-0.0185	0.0493292500000001
-0.022	0.0407417500000001
-0.0255	0.0318417500000001
-0.029	0.02265425
-0.032	0.01305425
-0.035	0.00322925
-0.0385	-0.0067332499999999
-0.0415	-0.0170207499999999
-0.0445	-0.02782075
-0.0475	-0.03908325
-0.051	-0.0504707499999999
-0.054	-0.0624175
-0.057	-0.0737119999999999
-0.0595	-0.0844347499999999
-0.062	-0.093708
-0.0635	-0.1019155
-0.0655	-0.1094685
-0.067	-0.1158435
-0.0685	-0.1215245
-0.0695	-0.1259405
-0.0705	-0.129803
-0.071	-0.13270625
-0.0715	-0.13485625
-0.072	-0.13621875
-0.072	-0.1367415
-0.0715	-0.1366415
-0.0695	-0.135758
-0.0675	-0.1348935
-0.0645	-0.133497
-0.062	-0.1317095
-0.059	-0.1295595
-0.0555	-0.12704775
-0.0525	-0.12462375
-0.049	-0.12174225
-0.0455	-0.11845475
-0.042	-0.11484225
-0.038	-0.11083875
-0.0345	-0.10667625
-0.031	-0.10233875
-0.0275	-0.09773875
-0.024	-0.0928632499999998
-0.0205	-0.08766325
-0.0165	-0.0822757499999999
-0.013	-0.0765127499999999
-0.0095	-0.0707797499999999
-0.006	-0.0646422499999998
-0.0025	-0.05811725
0.0005	-0.0512922499999999
0.004	-0.04419225
0.0075	-0.03669525
0.011	-0.0290202499999999
0.0145	-0.0210452500000001
0.0175	-0.0128077499999999
0.021	-0.0043077499999998
0.0245	0.004304
0.028	0.0134415000000002
0.0315	0.0230677499999999
0.035	0.0327427500000001
0.0385	0.0426677500000002
0.042	0.05284275
0.046	0.0630592500000002
0.0495	0.07370925
0.0535	0.0845967500000002
0.0575	0.0959442500000002
0.0625	0.10674425
0.065	0.11668175
0.068	0.125465
0.0705	0.13348475
0.0725	0.140063
0.0745	0.1458755
0.076	0.15096275
0.077	0.15503
0.078	0.158006
0.079	0.160356
0.079	0.161937
0.0795	0.16270875
0.079	0.16259875
0.0775	0.16189725
0.0755	0.16090975
0.073	0.15966025
0.0695	0.15802275
0.0665	0.15597
0.0635	0.15367925
0.0595	0.15105425
0.056	0.14819175
0.0525	0.14500425
0.049	0.1416845
0.045	0.13799975
0.041	0.13416225
0.0375	0.13008725
0.0335	0.12579975
0.0295	0.12128725
0.026	0.11662
0.021	0.10990875
0.018	0.10614625
0.0145	0.10073375
0.0105	0.0949325000000002
0.007	0.0889700000000001
0.003	0.0827950000000001
0.0	0.0765352500000001
-0.004	0.0693802500000003
-0.0075	0.0626362500000003
-0.011	0.0556170000000001
-0.0145	0.0482045000000002
-0.018	0.0403377500000002
-0.0215	0.0323252500000001
-0.025	0.0239127500000003
-0.0285	0.0153867500000001
-0.0315	0.0065242500000002
-0.035	-0.0028214999999997
-0.0385	-0.0122964999999999
-0.0415	-0.0219714999999997
-0.045	-0.0319464999999999
-0.048	-0.0421384999999998
-0.051	-0.0528509999999999
-0.0545	-0.0638760000000001
-0.0575	-0.0754274999999997
-0.0605	-0.0862649999999998
-0.063	-0.0959275
-0.0655	-0.10436775
-0.0675	-0.11198025
-0.069	-0.1187505
-0.071	-0.1243505
-0.072	-0.128788
-0.073	-0.13237725
-0.0735	-0.13546475
-0.074	-0.13776475
-0.0745	-0.13905225
-0.0745	-0.13955225
-0.0745	-0.13958975
-0.073	-0.13907725
-0.0705	-0.1379935
-0.068	-0.136606
-0.065	-0.1347185
-0.062	-0.1324185
-0.059	-0.130031
-0.0555	-0.127331
-0.0525	-0.12418275
-0.0485	-0.12061275
-0.0455	-0.117146
-0.042	-0.11327
-0.038	-0.109154
-0.0345	-0.10455125
-0.031	-0.10001875
-0.0275	-0.0952062499999999
-0.0235	-0.0900552499999999
-0.02	-0.08476775
-0.0165	-0.0793287499999998
-0.0125	-0.0734382499999998
-0.009	-0.0675092499999999
-0.0055	-0.0609442499999999
-0.002	-0.05435375
0.001	-0.0474937499999998
0.0045	-0.04034375
0.008	-0.0328437499999999
