MIN=0	-1	-1	0	0	-2
MAX=40	1	1	1	1	2
SCALE=40	0.5	0.5	0.5	0.5	1
DEC=2	3	3	0	0	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.001	0	0	1	0
0.048	0.005	0.119	1	1	0.002856
0.099	0.0155	0.215	1	1	0.011373
0.148	0.0285	0.2995	1	1	0.02397825
0.199	0.0425	0.386	1	1	0.0414585
0.249	0.0565	0.477	1	1	0.0630335
0.298	0.071	0.5615	1	1	0.08847675
0.348	0.086	0.658	1	1	0.11896425
0.402	0.103	0.7495	1	1	0.15696675
0.448	0.118	0.8235	1	1	0.19314575
0.499	0.1365	0.886	1	1	0.236738
0.549	0.157	0.9635	1	1	0.2829755
0.6	0.181	1.0135	1	1	0.333389
0.649	0.2085	1.0235	1	1	0.3832955
0.698	0.242	1.024	1	1	0.43345925
0.748	0.286	1.0235	1	1	0.48464675
0.798	0.347	1.009	1	1	0.53545925
0.848	0.426	0.9115	1	1	0.58347175
0.899	0.519	0.7605	1	1	0.62610775
0.949	0.619	0.6335	1	1	0.66095775
0.999	0.7205	0.466	1	1	0.68844525
1.048	0.817	0.375	1	1	0.70904975
1.099	0.9035	0.243	1	1	0.72480875
1.148	0.9655	0.096	1	1	0.73311425
1.198	0.978	-0.047	1	1	0.73433925
1.249	0.9535	-0.043	1	1	0.73204425
1.298	0.916	-0.068	1	1	0.72932475
1.349	0.8735	-0.0705	1	1	0.725793
1.398	0.8315	-0.1005	1	1	0.7216035
1.448	0.788	-0.0885	1	1	0.7168785
1.499	0.7445	-0.119	1	1	0.71158725
1.549	0.702	-0.1155	1	1	0.70572475
1.599	0.66	-0.139	1	1	0.69936225
1.648	0.6195	-0.1465	1	1	0.6923675
1.698	0.5785	-0.164	1	1	0.684605
1.748	0.537	-0.181	1	1	0.67598
1.799	0.4975	-0.2055	1	1	0.66612425
1.849	0.458	-0.2215	1	1	0.65544925
1.899	0.4185	-0.2485	1	1	0.64369925
1.949	0.3805	-0.2735	1	1	0.63064925
1.999	0.343	-0.301	1	1	0.61628675
2.048	0.3075	-0.33	1	1	0.60082725
2.098	0.2725	-0.3625	1	1	0.58351475
2.148	0.239	-0.4035	1	1	0.56436475
2.199	0.207	-0.4465	1	1	0.54268975
2.249	0.1785	-0.501	1	1	0.51900225
2.298	0.1535	-0.5585	1	1	0.4930445
2.349	0.131	-0.634	1	1	0.46263575
2.399	0.1115	-0.7105	1	1	0.42902325
2.448	0.0935	-0.795	1	1	0.3921385
2.499	0.0775	-0.875	1	1	0.3495535
2.548	0.062	-0.9635	1	1	0.30451025
2.599	0.0465	-1.0235	1	1	0.25384175
2.649	0.0325	-1.0235	1	1	0.20266675
2.698	0.0195	-1.0235	1	1	0.15251525
2.748	0.0075	-1.0235	1	1	0.10134025
2.799	-0.003	-1.0235	1	1	0.0491417500000005
2.849	-0.014	-1.0235	1	1	-0.00203325000000022
2.899	-0.0255	-1.0235	1	1	-0.05320825
2.948	-0.0385	-1.0235	1	1	-0.10335975
2.998	-0.053	-1.0235	1	1	-0.15453475
3.048	-0.07	-1.0235	1	1	-0.20570975
3.098	-0.088	-1.0235	1	1	-0.25688475
3.148	-0.107	-1.0235	1	1	-0.30805975
3.199	-0.1265	-1.0235	1	1	-0.36025825
3.249	-0.148	-1.0235	1	1	-0.41143325
3.299	-0.1755	-1.0235	1	1	-0.46260825
3.348	-0.2145	-1.0235	1	1	-0.51275975
3.398	-0.269	-1.0235	1	1	-0.56393475
3.449	-0.352	-1.0235	1	1	-0.61613325
3.498	-0.458	-1.0235	1	1	-0.66628475
3.549	-0.5675	-0.653	1	1	-0.7090355
3.598	-0.648	-0.4015	1	1	-0.73487075
3.649	-0.697	-0.143	1	1	-0.7487555
3.698	-0.713	-0.0635	1	1	-0.75381475
3.749	-0.701	0.0445	1	1	-0.75429925
3.799	-0.6695	0.0575	1	1	-0.75174925
3.849	-0.6325	0.096	1	1	-0.74791175
3.898	-0.594	0.0715	1	1	-0.743808
3.948	-0.5545	0.135	1	1	-0.7386455
3.999	-0.5135	0.126	1	1	-0.73199
4.048	-0.4755	0.1755	1	1	-0.72460325
4.099	-0.436	0.167	1	1	-0.7158695
4.149	-0.3985	0.225	1	1	-0.7060695
4.198	-0.3625	0.225	1	1	-0.6950445
4.249	-0.325	0.286	1	1	-0.682014
4.298	-0.2915	0.298	1	1	-0.667706
4.348	-0.257	0.359	1	1	-0.651281
4.399	-0.225	0.374	1	1	-0.6325895
4.449	-0.195	0.4545	1	1	-0.611877
4.498	-0.1695	0.484	1	1	-0.58888375
4.548	-0.1455	0.574	1	1	-0.56243375
