DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	1.95	0.03245	0.0005
0.1	1.95	0.03245	0.0005
0.2	1.95	0.03245	0.0005
0.3	3	0.03245	0
0.4	8.7	0.03245	-0.0015
0.5	18	0.03245	-0.0045
0.6	30	0.03245	-0.008
0.7	40.8	0.03245	-0.012
0.799	50.4	0.03245	-0.015
0.901	60	0.03245	-0.018
1	68.7	0.03245	-0.0205
1.1	78	0.03245	-0.0235
1.2	88.35	0.03245	-0.027
1.3	97.5	0.0324	-0.03
1.4	103.5	0.03245	-0.032
1.5	113.55	0.03245	-0.035
1.6	125.4	0.03245	-0.039
1.7	136.65	0.03245	-0.0425
1.8	146.25	0.03245	-0.0455
1.9	155.55	0.03245	-0.0485
2	166.35	0.03245	-0.052
2.1	177.6	0.03245	-0.0555
2.2	182.85	0.03245	-0.057
2.3	183	0.03245	-0.057
2.4	183	0.03245	-0.057
2.5	183.15	0.03245	-0.057
2.6	183	0.03245	-0.0565
2.7	183	0.03245	-0.0565
2.8	183	0.03245	-0.0575
2.9	183	0.03245	-0.0565
3	183	0.03245	-0.0565
3.1	183	0.03245	-0.0565
3.199	183	0.03245	-0.0565
3.299	183	0.03245	-0.0565
3.399	183.15	0.03245	-0.056
3.5	183.15	0.0325	-0.056
3.599	183	0.03245	-0.0565
3.699	183	0.03245	-0.0555
3.799	183	0.03245	-0.0555
3.901	183	0.03245	-0.057
3.999	183.15	0.0325	-0.0555
4.099	183.15	0.03245	-0.0565
4.199	183	0.03245	-0.0555
4.299	183	0.03245	-0.0555
4.399	183	0.03245	-0.0555
4.499	183.15	0.03245	-0.0555
4.599	183	0.03245	-0.0555
4.699	183	0.03245	-0.055
4.799	183	0.03245	-0.055
4.899	183.15	0.03245	-0.0565
4.999	183	0.03245	-0.055
5.099	183	0.03245	-0.055
5.199	183	0.03245	-0.055
5.299	183	0.03245	-0.055
