DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	182.85	-5E-05	0
0.1	182.85	-5E-05	0.0005
0.2	182.85	0	0.0015
0.299	182.7	0	0.0005
0.399	182.7	0.0014	-0.0025
0.5	182.85	0.00555	-0.0085
0.6	182.7	0.00715	-0.0115
0.699	182.7	0.00885	-0.015
0.799	182.7	0.0106	-0.018
0.899	182.85	0.01245	-0.0215
1	182.85	0.0146	-0.024
1.1	182.85	0.0168	-0.0275
1.199	182.7	0.01855	-0.0315
1.3	182.85	0.0203	-0.0365
1.4	182.7	0.022	-0.0365
1.499	182.85	0.0251	-0.043
1.599	182.7	0.02805	-0.048
1.7	182.7	0.029	-0.048
1.799	182.85	0.02945	-0.049
1.899	182.7	0.0327	-0.0555
1.999	182.85	0.0324	-0.0555
2.1	182.85	0.0324	-0.054
2.199	182.85	0.0324	-0.0555
2.3	182.7	0.0324	-0.054
2.399	182.85	0.03245	-0.0555
2.5	182.85	0.0325	-0.054
2.599	182.7	0.03255	-0.0555
2.7	182.85	0.0326	-0.0545
2.799	182.85	0.03265	-0.0555
2.899	182.7	0.0326	-0.0555
3	182.85	0.0326	-0.0545
3.108	182.85	0.0327	-0.0565
3.2	182.85	0.0327	-0.0545
3.3	182.85	0.0325	-0.0545
3.399	182.7	0.03255	-0.0555
3.5	182.7	0.03255	-0.0545
3.599	182.7	0.03265	-0.0555
3.7	182.85	0.03265	-0.0545
3.8	182.85	0.0326	-0.0545
3.899	182.85	0.0326	-0.0555
4	182.7	0.03265	-0.0545
4.1	182.85	0.0326	-0.055
4.2	182.7	0.0326	-0.055
4.299	182.85	0.0326	-0.056
4.4	182.85	0.03265	-0.055
4.5	182.85	0.0326	-0.0545
4.6	182.7	0.03275	-0.055
4.7	182.7	0.0326	-0.055
4.8	182.85	0.0326	-0.055
4.9	182.85	0.0326	-0.055
